Sex	gene_id	gene_name	target_id	target_name	corrPower	changeCorr	signTissues	signTissuesN	medianLFC	corrTissuesN	corrTissues	medianLFC_target
Male	ENSMUSG00000120594.1	ENSMUSG00000120594	ENSMUSG00000072582.10	Ptrh2	-1	-1	Kidney, Muscle, Liver	3	1.045854191791833	1	Liver	-0.38447810427133416
Male	ENSMUSG00000103569.2	Gm38067	ENSMUSG00000016528.11	Mapkapk2	-1	-1	Kidney, Muscle, Liver	3	0.9309208060011501	1	Muscle	-0.3846261297688264
Female	ENSMUSG00000121050.1	ENSMUSG00000121050	ENSMUSG00000032278.12	Paqr5	-1	-1	Kidney, Muscle	2	1.2122809236368377	1	Kidney	-0.3846571130246394
Male	ENSMUSG00000113775.2	Gm48027	ENSMUSG00000015671.12	Psma2	-1	-1	Kidney, Liver	2	0.9991716075776683	1	Liver	-0.3847645689779744
Male	ENSMUSG00000074024.7	4632427E13Rik	ENSMUSG00000041343.20	Ankrd42	-1	-1	Kidney, Muscle, Liver	3	1.360633448978762	1	Kidney	-0.38487596125233503
Male	ENSMUSG00000087412.6	Gm15501	ENSMUSG00000041343.20	Ankrd42	-1	-1	Kidney, Muscle, Liver	3	1.4682410256186351	1	Kidney	-0.38487596125233503
Male	ENSMUSG00000108318.2	Gm45170	ENSMUSG00000038886.11	Man2a2	-1	-1	Kidney	1	1.1558475526681058	1	Kidney	-0.3849926011882321
Male	ENSMUSG00000108494.2	Gm45203	ENSMUSG00000038886.11	Man2a2	-1	-1	Kidney	1	1.5995915560027478	1	Kidney	-0.3849926011882321
Male	ENSMUSG00000108655.2	Gm44949	ENSMUSG00000038886.11	Man2a2	-1	-1	Ileon, Kidney	2	1.6196454486080496	1	Kidney	-0.3849926011882321
Male	ENSMUSG00000109390.2	Gm45718	ENSMUSG00000038886.11	Man2a2	-1	-1	Kidney, Liver	2	1.302412948773528	1	Kidney	-0.3849926011882321
Female	ENSMUSG00000102375.2	A930036K24Rik	ENSMUSG00000032602.7	Slc25a20	-1	-1	Liver	1	1.5758649979316242	1	Liver	-0.3851526527247643
