gene_name	organ	cor	pval	adj.pval
Astn2	Kidney	0.05196562782980401	0.722882837159186	1
Astn2	Limb_Muscle	0.220383280777705	0.14109101531331214	1
Astn2	Liver	0.03420681162722584	0.813564712541962	1
Astn2	Lung	-0.2849551104208115	0.03675254375748631	0.5880407001197809
Astn2	Marrow	-0.029220237068189946	0.8354645407705745	1
Astn2	MAT	0.11011028628750816	0.4612465240996547	1
Astn2	Pancreas	0.13051828479930896	0.41001843160844986	1
Astn2	SCAT	-0.07394790651570349	0.6333280421631678	1
Astn2	Skin	0.0027827066034555323	0.985697074912935	1
Astn2	Small_Intestine	0.052957768897441304	0.714922490469674	1
Astn2	Spleen	0.22935186291872786	0.09210712932381881	1
Batf2	BAT	0.14944298251532287	0.430583551838702	1
Batf2	Bone	0.24365802767068767	0.0988541840842133	1
