Kidney_Male.LAKI UP	Kidney_Male.LAKI DOWN	Kidney_Male.TMS UP	Kidney_Male.TMS DOWN	Kidney_Male.Zhou UP	Kidney_Male.Zhou DOWN	Liver_Male.LAKI UP	Liver_Male.LAKI DOWN	Liver_Male.TMS UP	Liver_Male.TMS DOWN	Liver_Male.Zhou UP	Liver_Male.Zhou DOWN	Heart_Male.LAKI UP	Heart_Male.LAKI DOWN	Heart_Male.TMS UP	Heart_Male.TMS DOWN	Heart_Male.Zhou UP	Heart_Male.Zhou DOWN	Small_intestine_Male.LAKI UP	Small_intestine_Male.LAKI DOWN	Small_intestine_Male.TMS UP	Small_intestine_Male.TMS DOWN	Small_intestine_Male.Zhou UP	Small_intestine_Male.Zhou DOWN	Kidney_Female.LAKI UP	Kidney_Female.LAKI DOWN	Kidney_Female.TMS UP	Kidney_Female.TMS DOWN	Kidney_Female.Zhou UP	Kidney_Female.Zhou DOWN	Liver_Female.LAKI UP	Liver_Female.LAKI DOWN	Liver_Female.TMS UP	Liver_Female.TMS DOWN	Liver_Female.Zhou UP	Liver_Female.Zhou DOWN	Heart_Female.LAKI UP	Heart_Female.LAKI DOWN	Heart_Female.TMS UP	Heart_Female.TMS DOWN	Heart_Female.Zhou UP	Heart_Female.Zhou DOWN	Small_intestine_Female.LAKI UP	Small_intestine_Female.LAKI DOWN	Small_intestine_Female.TMS UP	Small_intestine_Female.TMS DOWN	Small_intestine_Female.Zhou UP	Small_intestine_Female.Zhou DOWN
Gm44434	NA	NA	NA	NA	NA	Gm16277	NA	NA	NA	NA	NA	NA	NA	NA	Gm37364	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44027	NA	NA	NA	NA	NA	Gm11586	NA	NA	NA	NA	NA	NA	NA	NA	Gm10745	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm49058	NA	NA	NA	NA	NA	0610043K17Rik	NA	NA	NA	NA	NA	NA	NA	NA	4833412K13Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44260	NA	NA	NA	NA	NA	Scarna6	NA	NA	NA	NA	NA	NA	NA	NA	Gm37215	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm10209	NA	NA	NA	NA	NA	Gm6493	NA	NA	NA	NA	NA	NA	NA	NA	A430073I11Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44270	NA	NA	NA	NA	NA	Gm8893	NA	NA	NA	NA	NA	NA	NA	NA	Gm37212	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44116	NA	NA	NA	NA	NA	H2af-ps2	NA	NA	NA	NA	NA	NA	NA	NA	Gm37211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43958	NA	NA	NA	NA	NA	5330438I03Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm37210	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44130	NA	NA	NA	NA	NA	Gm17228	NA	NA	NA	NA	NA	NA	NA	NA	Gm37775	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44153	NA	NA	NA	NA	NA	Gm17021	NA	NA	NA	NA	NA	NA	NA	NA	Gm37776	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43984	NA	NA	NA	NA	NA	Gm20705	NA	NA	NA	NA	NA	NA	NA	NA	Gm37566	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm43923	NA	NA	NA	NA	NA	Gm26608	NA	NA	NA	NA	NA	NA	NA	NA	Gm37567	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44224	NA	NA	NA	NA	NA	4732463B04Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm38128	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44202	NA	NA	NA	NA	NA	Gm27019	NA	NA	NA	NA	NA	NA	NA	NA	Gm37199	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45170	NA	NA	NA	NA	NA	Gm8883	NA	NA	NA	NA	NA	NA	NA	NA	Gm38279	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45477	NA	NA	NA	NA	NA	Ppnr	NA	NA	NA	NA	NA	NA	NA	NA	Gm38278	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44567	NA	NA	NA	NA	NA	Gm28941	NA	NA	NA	NA	NA	NA	NA	NA	Gm37317	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45203	NA	NA	NA	NA	NA	Gm29036	NA	NA	NA	NA	NA	NA	NA	NA	Gm37315	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45828	NA	NA	NA	NA	NA	Gm29453	NA	NA	NA	NA	NA	NA	NA	NA	Gm20356	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44834	NA	NA	NA	NA	NA	Gm38055	NA	NA	NA	NA	NA	NA	NA	NA	Gm37876	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44835	NA	NA	NA	NA	NA	Gm37983	NA	NA	NA	NA	NA	NA	NA	NA	Gm20743	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44694	NA	NA	NA	NA	NA	Gm37973	NA	NA	NA	NA	NA	NA	NA	NA	Gm37298	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44553	NA	NA	NA	NA	NA	A930036K24Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm37484	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
C130083A15Rik	NA	NA	NA	NA	NA	Gm38051	NA	NA	NA	NA	NA	NA	NA	NA	Gm36950	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45792	NA	NA	NA	NA	NA	Gm37265	NA	NA	NA	NA	NA	NA	NA	NA	Gm36952	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44916	NA	NA	NA	NA	NA	9430083B18Rik	NA	NA	NA	NA	NA	NA	NA	NA	D130019J16Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm35842	NA	NA	NA	NA	NA	Gm37382	NA	NA	NA	NA	NA	NA	NA	NA	Gm37142	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm39079	NA	NA	NA	NA	NA	Gm37328	NA	NA	NA	NA	NA	NA	NA	NA	Gm37138	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44822	NA	NA	NA	NA	NA	Gm37159	NA	NA	NA	NA	NA	NA	NA	NA	Gm38105	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44751	NA	NA	NA	NA	NA	Gm37273	NA	NA	NA	NA	NA	NA	NA	NA	Gm38101	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44588	NA	NA	NA	NA	NA	9330121J05Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm38099	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm2814	NA	NA	NA	NA	NA	Gm38374	NA	NA	NA	NA	NA	NA	NA	NA	Gm38248	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44668	NA	NA	NA	NA	NA	Gm37062	NA	NA	NA	NA	NA	NA	NA	NA	Gm37822	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm44891	NA	NA	NA	NA	NA	Gm37809	NA	NA	NA	NA	NA	NA	NA	NA	Gm37397	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45630	NA	NA	NA	NA	NA	Gm37008	NA	NA	NA	NA	NA	NA	NA	NA	Gm37985	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45413	NA	NA	NA	NA	NA	Gm37269	NA	NA	NA	NA	NA	NA	NA	NA	Gm37051	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45289	NA	NA	NA	NA	NA	Gm37023	NA	NA	NA	NA	NA	NA	NA	NA	Gm7292	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45555	NA	NA	NA	NA	NA	Gm37321	NA	NA	NA	NA	NA	NA	NA	NA	Gm7470	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45407	NA	NA	NA	NA	NA	Gm5837	NA	NA	NA	NA	NA	NA	NA	NA	9430062P05Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45532	NA	NA	NA	NA	NA	Idi1-ps2	NA	NA	NA	NA	NA	NA	NA	NA	Gm38299	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
B930086L07Rik	NA	NA	NA	NA	NA	Gm42941	NA	NA	NA	NA	NA	NA	NA	NA	Gm37460	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45378	NA	NA	NA	NA	NA	Gm42937	NA	NA	NA	NA	NA	NA	NA	NA	Gm37459	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm33543	NA	NA	NA	NA	NA	Gm43592	NA	NA	NA	NA	NA	NA	NA	NA	Gm10862	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45909	NA	NA	NA	NA	NA	Gm42651	NA	NA	NA	NA	NA	NA	NA	NA	Gm37456	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm45762	NA	NA	NA	NA	NA	2510017J16Rik	NA	NA	NA	NA	NA	NA	NA	NA	A130071D04Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
D030045P18Rik	NA	NA	NA	NA	NA	Gm43365	NA	NA	NA	NA	NA	NA	NA	NA	Gm38043	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48335	NA	NA	NA	NA	NA	Gm42866	NA	NA	NA	NA	NA	NA	NA	NA	Gm37909	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48840	NA	NA	NA	NA	NA	Gm42614	NA	NA	NA	NA	NA	NA	NA	NA	Gm38284	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47857	NA	NA	NA	NA	NA	Gm43787	NA	NA	NA	NA	NA	NA	NA	NA	Gm37127	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48114	NA	NA	NA	NA	NA	Gm42809	NA	NA	NA	NA	NA	NA	NA	NA	Gm37514	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47963	NA	NA	NA	NA	NA	C030032O16Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm37510	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47234	NA	NA	NA	NA	NA	Gm43463	NA	NA	NA	NA	NA	NA	NA	NA	Gm37032	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9930024M15Rik	NA	NA	NA	NA	NA	Gm7652	NA	NA	NA	NA	NA	NA	NA	NA	Gm37553	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
5330432J10Rik	NA	NA	NA	NA	NA	Gm21049	NA	NA	NA	NA	NA	NA	NA	NA	Gm37960	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47889	NA	NA	NA	NA	NA	Gm42633	NA	NA	NA	NA	NA	NA	NA	NA	Gm37254	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48334	NA	NA	NA	NA	NA	Gm43195	NA	NA	NA	NA	NA	NA	NA	NA	Gm20750	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47503	NA	NA	NA	NA	NA	Gm42634	NA	NA	NA	NA	NA	NA	NA	NA	Gm37069	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48673	NA	NA	NA	NA	NA	Gm43031	NA	NA	NA	NA	NA	NA	NA	NA	Gm37067	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm49783	NA	NA	NA	NA	NA	Gm42822	NA	NA	NA	NA	NA	NA	NA	NA	4932431L22Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm34777	NA	NA	NA	NA	NA	Gm43800	NA	NA	NA	NA	NA	NA	NA	NA	Gm37824	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47438	NA	NA	NA	NA	NA	Gm7463	NA	NA	NA	NA	NA	NA	NA	NA	Gm10513	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47708	NA	NA	NA	NA	NA	Gm43052	NA	NA	NA	NA	NA	NA	NA	NA	Gm37660	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48086	NA	NA	NA	NA	NA	Gm30784	NA	NA	NA	NA	NA	NA	NA	NA	Gm38207	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm10752	NA	NA	NA	NA	NA	Gm44117	NA	NA	NA	NA	NA	NA	NA	NA	Gm38211	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48230	NA	NA	NA	NA	NA	Gm44153	NA	NA	NA	NA	NA	NA	NA	NA	Gm10305	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
9230116L04Rik	NA	NA	NA	NA	NA	Gm44552	NA	NA	NA	NA	NA	NA	NA	NA	Gm38065	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm40787	NA	NA	NA	NA	NA	Gm38832	NA	NA	NA	NA	NA	NA	NA	NA	Gm38066	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48225	NA	NA	NA	NA	NA	Gm44851	NA	NA	NA	NA	NA	NA	NA	NA	Gm19552	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47644	NA	NA	NA	NA	NA	Gm45091	NA	NA	NA	NA	NA	NA	NA	NA	Gm37110	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48880	NA	NA	NA	NA	NA	C130083A15Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm37163	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48025	NA	NA	NA	NA	NA	Gm44787	NA	NA	NA	NA	NA	NA	NA	NA	Gm37161	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
A130012E19Rik	NA	NA	NA	NA	NA	Gm32540	NA	NA	NA	NA	NA	NA	NA	NA	Gm37334	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48885	NA	NA	NA	NA	NA	Gm45044	NA	NA	NA	NA	NA	NA	NA	NA	Gm37332	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47138	NA	NA	NA	NA	NA	Gm44916	NA	NA	NA	NA	NA	NA	NA	NA	Gm42686	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48870	NA	NA	NA	NA	NA	Gm2814	NA	NA	NA	NA	NA	NA	NA	NA	E030032P16Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47166	NA	NA	NA	NA	NA	Gm39526	NA	NA	NA	NA	NA	NA	NA	NA	9330178D15Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm33424	NA	NA	NA	NA	NA	Gm45630	NA	NA	NA	NA	NA	NA	NA	NA	Gm43209	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47139	NA	NA	NA	NA	NA	Gm45289	NA	NA	NA	NA	NA	NA	NA	NA	F830115B05Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm47588	NA	NA	NA	NA	NA	0610005C13Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm42497	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48586	NA	NA	NA	NA	NA	Gm45299	NA	NA	NA	NA	NA	NA	NA	NA	4921511C10Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm40663	NA	NA	NA	NA	NA	Gm45609	NA	NA	NA	NA	NA	NA	NA	NA	B230334C09Rik	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48585	NA	NA	NA	NA	NA	Gm45294	NA	NA	NA	NA	NA	NA	NA	NA	Gm43409	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
BB123696	NA	NA	NA	NA	NA	Gm33543	NA	NA	NA	NA	NA	NA	NA	NA	Gm42678	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48381	NA	NA	NA	NA	NA	Gm45363	NA	NA	NA	NA	NA	NA	NA	NA	Gm43774	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48869	NA	NA	NA	NA	NA	Gm45774	NA	NA	NA	NA	NA	NA	NA	NA	Gm42461	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
Gm48382	NA	NA	NA	NA	NA	Lncbate1	NA	NA	NA	NA	NA	NA	NA	NA	Gm43485	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA
