Kidney_Male.LAKI UP	Kidney_Male.LAKI DOWN	Kidney_Male.TMS UP	Kidney_Male.TMS DOWN	Kidney_Male.Zhou UP	Kidney_Male.Zhou DOWN	Liver_Male.LAKI UP	Liver_Male.LAKI DOWN	Liver_Male.TMS UP	Liver_Male.TMS DOWN	Liver_Male.Zhou UP	Liver_Male.Zhou DOWN	Heart_Male.LAKI UP	Heart_Male.LAKI DOWN	Heart_Male.TMS UP	Heart_Male.TMS DOWN	Heart_Male.Zhou UP	Heart_Male.Zhou DOWN	Small_intestine_Male.LAKI UP	Small_intestine_Male.LAKI DOWN	Small_intestine_Male.TMS UP	Small_intestine_Male.TMS DOWN	Small_intestine_Male.Zhou UP	Small_intestine_Male.Zhou DOWN	Kidney_Female.LAKI UP	Kidney_Female.LAKI DOWN	Kidney_Female.TMS UP	Kidney_Female.TMS DOWN	Kidney_Female.Zhou UP	Kidney_Female.Zhou DOWN	Liver_Female.LAKI UP	Liver_Female.LAKI DOWN	Liver_Female.TMS UP	Liver_Female.TMS DOWN	Liver_Female.Zhou UP	Liver_Female.Zhou DOWN	Heart_Female.LAKI UP	Heart_Female.LAKI DOWN	Heart_Female.TMS UP	Heart_Female.TMS DOWN	Heart_Female.Zhou UP	Heart_Female.Zhou DOWN	Small_intestine_Female.LAKI UP	Small_intestine_Female.LAKI DOWN	Small_intestine_Female.TMS UP	Small_intestine_Female.TMS DOWN	Small_intestine_Female.Zhou UP	Small_intestine_Female.Zhou DOWN
Rab10os	Gm20186	NA	ENSMUSG00000120302	Kcnq1ot1	9430025C20Rik	Gm17132	Gm2788	Trgc2	1810019D21Rik	6330403L08Rik	mt-Rnr1	2410022M11Rik	Gm44087	Gm26532	BC107364	4930581F22Rik	Gm12070	Gata6os	Mexis	Gm15408	Gm2788	NA	NA	E130307A14Rik	Peg13	NA	NA	NA	NA	Znf41-ps	9430037G07Rik	E330020D12Rik	Rapgef4os3	NA	NA	ENSMUSG00000121382	NA	NA	NA	NA	NA	4930458D05Rik	Gm15848	Gm12992	Gm21811	NA	NA
Gm11518	Gm49338	NA	NA	6430511E19Rik	R74862	Gm10125	Gm15998	Trgc4	4930481A15Rik	Trbc1	mt-Rnr2	2310069B03Rik	D830024N08Rik	Gm26586	Irx3os	Gm10382	Gm20634	A930038B10Rik	Gm15657	AI662270	Hnf1aos1	NA	NA	Gm15501	Gm42047	NA	NA	NA	NA	Mir142hg	Gm26684	Gvin3	1810019D21Rik	NA	NA	Frmd8os	NA	NA	NA	NA	NA	Gm4117	Gm15657	Tsix	Gm5559	NA	NA
Mir22hg	Gm49980	NA	NA	Gm42659	1500035N22Rik	mt-Rnr2	9330162012Rik	Trac	Gm15541	Trbc2	Gm10175	Hand2os1	Gm10635	Bvht	Gm5815	9330160F10Rik	1110002L01Rik	Fendrr	2810429I04Rik	E030042O20Rik	Gm13773	NA	NA	AI480526	Gm2682	NA	NA	NA	NA	A730011C13Rik	E030030I06Rik	AW112010	0610009E02Rik	NA	NA	Snora73b	NA	NA	NA	NA	NA	Gm20528	Gm1965	Chrna1os	1500026H17Rik	NA	NA
Gm16001	Rn7s1	NA	NA	Gm20559	Pantr1	E230001N04Rik	5730405O15Rik	Gm15560	Tbx3os1	Trgc2	1700055D18Rik	Snhg14	Gm31013	Rps23-ps1	4930432E11Rik	G530011O06Rik	Gm10602	Gm26631	Gm38036	9830144P21Rik	1810019D21Rik	NA	NA	1600020E01Rik	Rn7s1	NA	NA	NA	NA	Gm11963	Gm6277	Trbv13-2	E030013I19Rik	NA	NA	Gm29216	NA	NA	NA	NA	NA	Gm21781	4833407H14Rik	Gm13021	Gm10605	NA	NA
Gm15500	ENSMUSG00000120732	NA	NA	Peg13	3000002C10Rik	2510046G10Rik	A630031M04Rik	Gm15626	Gm16564	Trgc4	Gm10384	Gm28875	Gm35330	Chaserr	Tdg-ps	D730003I15Rik	Gm6658	9530026P05Rik	Gm37752	Gm16559	Gt(ROSA)26Sor	NA	NA	2310010J17Rik	Rn18s-rs5	NA	NA	NA	NA	Gm11767	Rian	Trbc1	Gm13594	NA	NA	Gm31520	NA	NA	NA	NA	NA	Gm21092	Gm19585	Gm16759	0610031O16Rik	NA	NA
2410006H16Rik	ENSMUSG00000120789	NA	NA	Gm46430	9230112E08Rik	Rpl31-ps8	Hectd2os	Gm13323	Gm16536	Trac	Rpl37rt	Gm37626	E130310I04Rik	Gm21955	4933428G20Rik	E330020D12Rik	Gm10649	C430014B12Rik	Trdc	Gm16025	9530034E10Rik	NA	NA	Cep83os	Hmga2-ps1	NA	NA	NA	NA	Gm16751	3110045C21Rik	Trgc2	2010001A14Rik	NA	NA	Gm36670	NA	NA	NA	NA	NA	Gm21811	Gm37752	Stamos	F730311O21Rik	NA	NA
Snhg20	ENSMUSG00000121042	NA	NA	AY036118	Fzd10os	Gm10275	Gm10177	Pisd-ps1	D630036H23Rik	Gm15931	4933439C10Rik	Gm7265	Rn18s-rs5	Gm37352	Gm9828	C130036L24Rik	Gm10658	A130051J06Rik	Gm19391	1700023H06Rik	2410006H16Rik	NA	NA	2810030D12Rik	ENSMUSG00000121374	NA	NA	NA	NA	3010003L21Rik	Dleu2	Trgv2	E230016M11Rik	NA	NA	Gm35533	NA	NA	NA	NA	NA	Gata6os	Gm43366	AI662270	Gm28720	NA	NA
Gm16124	ENSMUSG00000121141	NA	NA	Rn18s-rs5	2410018L13Rik	4933406P04Rik	Gm6548	Gm12250	Gm20540	Gm12216	H3f3aos	5330406M23Rik	ENSMUSG00000120058	C230096K16Rik	A730049H05Rik	Gm10575	AW011738	2310015A10Rik	Gm43197	A930033H14Rik	A230072C01Rik	NA	NA	Rps23-ps1	ENSMUSG00000121485	NA	NA	NA	NA	Snhg17	4732465J04Rik	Trgc4	Gm11946	NA	NA	Eprn	NA	NA	NA	NA	NA	A930038B10Rik	Gm19391	A830082K12Rik	Rnf170-ps	NA	NA
4930481A15Rik	ENSMUSG00000121485	NA	NA	ENSMUSG00000120198	Gm10575	9230112E08Rik	Gm45351	Gm14229	Gm18360	5031425F14Rik	Zfas1	Rpl36a-ps2	Nlrp5-ps	5930430L01Rik	Zfa-ps	4632427E13Rik	9430091E24Rik	B230217O12Rik	Gm20275	2010016I18Rik	Gm10177	NA	NA	Gm29216	Rn7sk	NA	NA	NA	NA	Gm16001	2310040G24Rik	Trac	C430049B03Rik	NA	NA	Gm48630	NA	NA	NA	NA	NA	Fendrr	Gm40348	Gm15541	Gm37783	NA	NA
5530601H04Rik	H2-K2	NA	NA	Gm51425	Gm54215	Gm10309	Gm20319	Gm13543	Gm20554	Mir22hg	F930017D23Rik	Gm4332	Sms-ps	Gm44401	A130023I24Rik	Gm15441	Hoxb3os	4933404O12Rik	Gm34084	Gm45351	Gm17251	NA	NA	Kcnq1ot1	Nlrp5-ps	NA	NA	NA	NA	Gm13421	Norad	Gm12633	Gm16008	NA	NA	Gm19277	NA	NA	NA	NA	NA	9530026P05Rik	Gm38910	Gm15501	Gm38102	NA	NA
E130307A14Rik	Gm8325	NA	NA	ENSMUSG00000121137	Gm12346	5031425E22Rik	2500002B13Rik	Gm12036	A230028O05Rik	Gm11525	Gm14276	Gm42860	4930458D05Rik	9930120I10Rik	C130071C03Rik	Gm15417	A730011C13Rik	Gm27252	Gm18939	Gm20544	Serpina4-ps1	NA	NA	1700096K18Rik	D930007J09Rik	NA	NA	NA	NA	9030622O22Rik	Gm42427	Gm14367	4732440D04Rik	NA	NA	Gm50100	NA	NA	NA	NA	NA	A130051J06Rik	5830408C22Rik	Gm15910	Gm43737	NA	NA
Gm15501	0610009L18Rik	NA	NA	ENSMUSG00000121485	Gm16278	C030034I22Rik	Snhg18	4933439K11Rik	Gm9917	Foxd2os	Ptma-ps2	Gm42992	Gm42067	Gm44667	Gm5087	Zfas1	B430010I23Rik	2410022M11Rik	Gm48342	D630033O11Rik	Gm20540	NA	NA	Gm42566	Gm9817	NA	NA	NA	NA	Gm15787	C130013H08Rik	Gm14735	Gm17251	NA	NA	Gm4956	NA	NA	NA	NA	NA	2310015A10Rik	Gm48809	Gm16025	Gm21049	NA	NA
Hotairm1	Capza1-ps1	NA	NA	ENSMUSG00000121500	Gm12371	AA474408	4930556M19Rik	Gm11767	Carmn	Gm11613	1810062O18Rik	Gm43188	Nlrp5-ps	D430020J02Rik	Gm9864	Morrbid	Slc2a4rg-ps	Snhg14	Gpr31c	9330175E14Rik	Malat1	NA	NA	4833413G10Rik	Gm7367	NA	NA	NA	NA	Ftx	Cyp3a63-ps	Gm15931	E130317F20Rik	NA	NA	NA	NA	NA	NA	NA	NA	B230217O12Rik	Gm47024	Mir17hg	Gm40309	NA	NA
AI480526	Gm10451	NA	NA	H2-K2	Gm14827	4632427E13Rik	1810034E14Rik	Gm15964	Gm4673	Gm11346	2310058D17Rik	5930430L01Rik	Gm36827	Gm49502	Gm12703	AW112010	4933421O10Rik	Gm10138	ENSMUSG00000120252	Gm26871	Cyp21a2-ps	NA	NA	Gm44597	A930017M01Rik	NA	NA	NA	NA	Mypopos	Gm42047	Gm11218	Gm20544	NA	NA	NA	NA	NA	NA	NA	NA	4933404O12Rik	4933412E12Rik	Mir99ahg	Zfp862-ps	NA	NA
Gm10177	Airn	NA	NA	Zrsr1	B930095G15Rik	Gm10642	A530020G20Rik	1700095J03Rik	2700046G09Rik	Tsix	Gm13919	Gm43274	Gm49477	Gm30571	Gm15413	Trbc1	2310058D17Rik	Zbtb11os1	ENSMUSG00000120390	9030407P20Rik	1110020A21Rik	NA	NA	Gm4316	BC023105	NA	NA	NA	NA	Gm15500	Gm5182	Gm12386	Gm20692	NA	NA	NA	NA	NA	NA	NA	NA	Snhg14	Gm34084	2010016I18Rik	Mug4-ps	NA	NA
Neat1	Gm11175	NA	NA	4930500M09Rik	D330050G23Rik	AA386476	2310010J17Rik	Gm16083	Gm26903	Atcayos	Oip5os1	Gm44220	ENSMUSG00000120313	ENSMUSG00000119959	Gm5444	Trbc2	C530005A16Rik	A530064N14Rik	ENSMUSG00000120476	Gm26873	E030030I06Rik	NA	NA	Gm48271	Rny3	NA	NA	NA	NA	2810403D21Rik	Gm36041	Gm11407	4930556M19Rik	NA	NA	NA	NA	NA	NA	NA	NA	Gm37472	Gm50105	Rps2-ps10	4833411C07Rik	NA	NA
Malat1	Gm15387	NA	NA	A530053G22Rik	Myhas	Zfas1	4632428C04Rik	Gm16211	1700034P13Rik	Tnfsf13os	Gm13012	Gm44022	Gm32113	ENSMUSG00000120173	Gm9922	F630028O10Rik	Gm16001	Gm43858	ENSMUSG00000121431	Gm16861	2310001H17Rik	NA	NA	Gm48799	Snora74a	NA	NA	NA	NA	E130102H24Rik	Gm47428	Pisd-ps1	Gm9917	NA	NA	NA	NA	NA	NA	NA	NA	Gm38253	Terc	Gm20544	4930431P19Rik	NA	NA
